,Plastic,response,SE,df,lower.CL,upper.CL,.group,resp,timepoint
345,PLA/PHA,0.037195534,0.000382515,24,0.03641025,0.037989195,A,cumulative_CO2_plastic_std,15
246,LDPE,0.000286035,4.09E-05,24,0.000207789,0.000376759,C,cumulative_CO2_plastic_std,30
147,PBS,0.004033944,0.000153726,24,0.003722908,0.004357457,B,cumulative_CO2_plastic_std,30
446,PLA,6.77E-05,1.99E-05,24,3.29E-05,0.000115076,D,cumulative_CO2_plastic_std,30
346,PLA/PHA,0.060376151,0.000594723,24,0.059154941,0.061609838,A,cumulative_CO2_plastic_std,30
247,LDPE,0.002174331,0.000203029,24,0.001775488,0.002613551,C,cumulative_CO2_plastic_std,193
148,PBS,0.006909325,0.00036192,24,0.006182546,0.00767648,B,cumulative_CO2_plastic_std,193
447,PLA,0.00061826,0.000108263,24,0.000415005,0.000861893,D,cumulative_CO2_plastic_std,193
347,PLA/PHA,0.178716845,0.001840679,24,0.17493806,0.182536008,A,cumulative_CO2_plastic_std,193
448,LDPE,0.002632096,7.87E-05,24,0.002472266,0.002796932,D,cumulative_CO2_native_std,5
348,PBS,0.0055731,0.00011445,24,0.005339389,0.005811816,B,cumulative_CO2_native_std,5
248,PLA,0.004754013,0.000105706,24,0.00453835,0.004974681,C,cumulative_CO2_native_std,5
149,PLA/PHA,0.011439354,0.000163972,24,0.011103436,0.011780277,A,cumulative_CO2_native_std,5
449,LDPE,0.006556658,0.000223468,24,0.006095442,0.007017874,D,cumulative_CO2_native_std,15
349,PBS,0.012853709,0.000223468,24,0.012392493,0.013314925,B,cumulative_CO2_native_std,15
249,PLA,0.011814208,0.000223468,24,0.011352992,0.012275425,C,cumulative_CO2_native_std,15
150,PLA/PHA,0.023911365,0.000223468,24,0.023450149,0.024372581,A,cumulative_CO2_native_std,15
450,LDPE,0.011574617,0.000307674,24,0.010939609,0.012209625,C,cumulative_CO2_native_std,30
350,PBS,0.021619904,0.000307674,24,0.020984896,0.022254912,B,cumulative_CO2_native_std,30
250,PLA,0.020934508,0.000307674,24,0.0202995,0.021569516,B,cumulative_CO2_native_std,30
151,PLA/PHA,0.038305339,0.000307674,24,0.037670331,0.038940347,A,cumulative_CO2_native_std,30
451,LDPE,0.042989302,0.000882406,24,0.041168105,0.0448105,C,cumulative_CO2_native_std,193
351,PBS,0.076802581,0.000882406,24,0.074981384,0.078623778,B,cumulative_CO2_native_std,193
251,PLA,0.079415072,0.000882406,24,0.077593875,0.08123627,B,cumulative_CO2_native_std,193
152,PLA/PHA,0.122622016,0.000882406,24,0.120800819,0.124443213,A,cumulative_CO2_native_std,193
252,NONE,1.11,0.047717681,30,1.012547494,1.207452506,D,SOC,5
153,LDPE,2.62725,0.047717681,30,2.529797494,2.724702506,A,SOC,5
524,PBS,2.32225,0.047717681,30,2.224797494,2.419702506,B,SOC,5
452,PLA,2.10575,0.047717681,30,2.008297494,2.203202506,C,SOC,5
352,PLA/PHA,1.97275,0.047717681,30,1.875297494,2.070202506,C,SOC,5
253,NONE,1.13125,0.028481408,30,1.073083204,1.189416796,D,SOC,15
154,LDPE,2.748125,0.028481408,30,2.689958204,2.806291796,A,SOC,15
525,PBS,2.180375,0.028481408,30,2.122208204,2.238541796,B,SOC,15
453,PLA,2.12275,0.028481408,30,2.064583204,2.180916796,B,SOC,15
353,PLA/PHA,1.883625,0.028481408,30,1.825458204,1.941791796,C,SOC,15
254,NONE,1.110125,0.018614986,30,1.072108127,1.148141873,D,SOC,30
155,LDPE,2.477625,0.018614986,30,2.439608127,2.515641873,A,SOC,30
526,PBS,2.0015,0.018614986,30,1.963483127,2.039516873,B,SOC,30
454,PLA,1.83125,0.018614986,30,1.793233127,1.869266873,C,SOC,30
354,PLA/PHA,1.805875,0.018614986,30,1.767858127,1.843891873,C,SOC,30
255,NONE,1.036875,0.022759339,30,0.990394229,1.083355771,D,SOC,193
156,LDPE,2.65425,0.022759339,30,2.607769229,2.700730771,A,SOC,193
355,PBS,2.035125,0.022759339,30,1.988644229,2.081605771,B,SOC,193
527,PLA,2.039,0.022759339,30,1.992519229,2.085480771,B,SOC,193
455,PLA/PHA,1.59225,0.022759339,30,1.545769229,1.638730771,C,SOC,193
456,NONE,0.110064325,0.002129525,30,0.105758218,0.114456357,AB,TN,5
528,LDPE,0.10239082,0.00205395,30,0.098239056,0.106628508,B,TN,5
356,PBS,0.113801398,0.002165375,30,0.109422074,0.118266647,A,TN,5
157,PLA,0.113947533,0.002166765,30,0.10956537,0.11841562,A,TN,5
256,PLA/PHA,0.114450038,0.002171538,30,0.110058129,0.118927872,A,TN,5
529,NONE,0.113702202,0.002211862,30,0.109229844,0.118264292,A,TN,15
457,LDPE,0.111322964,0.002188597,30,0.106898117,0.115837542,A,TN,15
357,PBS,0.114697344,0.00222152,30,0.110205261,0.119279158,A,TN,15
257,PLA,0.115939323,0.002233515,30,0.111422742,0.120545635,A,TN,15
158,PLA/PHA,0.114719421,0.002221734,30,0.110226901,0.119301672,A,TN,15
358,NONE,0.116453163,0.00154376,30,0.113321723,0.119627281,AB,TN,30
458,LDPE,0.110821801,0.001505972,30,0.107767536,0.113918745,B,TN,30
159,PBS,0.118145962,0.00155494,30,0.11499169,0.121342912,A,TN,30
258,PLA,0.120214751,0.001568495,30,0.117032796,0.123439384,A,TN,30
530,PLA/PHA,0.117308032,0.001549416,30,0.114165041,0.120493701,A,TN,30
459,NONE,0.088875,0.00083666,30,0.087166312,0.090583688,B,TN,193
359,LDPE,0.094125,0.00083666,30,0.092416312,0.095833688,A,TN,193
259,PBS,0.0805,0.00083666,30,0.078791312,0.082208688,D,TN,193
160,PLA,0.085,0.00083666,30,0.083291312,0.086708688,C,TN,193
531,PLA/PHA,0.0855,0.00083666,30,0.083791312,0.087208688,BC,TN,193
260,NONE,94.76108687,7.586722649,30,79.26693217,110.2552416,BC,MBC,5
161,LDPE,117.4632453,7.586722649,30,101.9690906,132.9574,B,MBC,5
360,PBS,101.0872803,7.586722649,30,85.59312561,116.581435,BC,MBC,5
532,PLA,81.66317384,7.586722649,30,66.16901914,97.15732854,C,MBC,5
460,PLA/PHA,256.5405085,7.586722649,30,241.0463538,272.0346632,A,MBC,5
361,NONE,63.60496319,4.687946412,30,54.39118059,73.53930826,B,MBC,15
261,LDPE,64.02044277,4.703232762,30,54.77544127,73.98600673,B,MBC,15
162,PBS,75.73756967,5.115555706,30,65.65049239,86.54520942,B,MBC,15
533,PLA,62.98638188,4.665094727,30,53.81926864,72.87405758,B,MBC,15
461,PLA/PHA,286.5543911,9.950402984,30,266.5932384,307.2361063,A,MBC,15
163,NONE,112.1697825,5.690187474,30,100.8498542,124.0916805,C,MBC,30
362,LDPE,144.4942565,6.458236262,30,131.6057633,157.9847194,B,MBC,30
262,PBS,95.72050841,5.25643302,30,85.28642489,106.7565616,C,MBC,30
534,PLA,93.28110266,5.189021523,30,82.98469179,104.1794832,C,MBC,30
462,PLA/PHA,284.6576651,9.064629918,30,266.446206,303.471094,A,MBC,30
363,NONE,314.3675967,7.273052879,30,299.5140411,329.2211522,AB,MBC,193
