"Tube","Date","Plastic","Nitrogen","CO2Flux","CO2Flux_plastic","daily_CO2","daily_CO2_plastic","daily_CO2_native","cumulative_CO2","cumulative_CO2_plastic","cumulative_CO2_native"
127,2023-08-31,"LDPE","N0",NA,NA,2.86960568481636,0.0342080768322964,2.83539760798406,797.619420385286,42.3999535705443,755.219466814741
127,2023-09-01,"LDPE","N0",NA,NA,2.85352872356411,0.0684161536645928,2.78511256989952,800.47294910885,42.4683697242089,758.004579384641
127,2023-09-02,"LDPE","N0",NA,NA,2.83745176231186,0.102624230496889,2.73482753181497,803.310400871162,42.5709939547058,760.739406916456
127,2023-09-03,"LDPE","N0",NA,NA,2.82137480105961,0.136832307329186,2.68454249373043,806.131775672221,42.707826262035,763.423949410186
127,2023-09-04,"LDPE","N0",NA,NA,2.80529783980736,0.171040384161482,2.63425745564588,808.937073512029,42.8788666461965,766.058206865832
127,2023-09-05,"LDPE","N0",NA,NA,2.78922087855511,0.205248460993778,2.58397241756133,811.726294390584,43.0841151071903,768.642179283393
127,2023-09-06,"LDPE","N0",NA,NA,2.77314391730286,0.239456537826075,2.53368737947679,814.499438307887,43.3235716450163,771.17586666287
127,2023-09-07,"LDPE","N0",NA,NA,2.75706695605062,0.273664614658371,2.48340234139224,817.256505263937,43.5972362596747,773.659269004263
127,2023-09-08,"LDPE","N0",NA,NA,2.74098999479837,0.307872691490668,2.4331173033077,819.997495258736,43.9051089511654,776.09238630757
127,2023-09-09,"LDPE","N0",NA,NA,2.72491303354612,0.342080768322964,2.38283226522315,822.722408292282,44.2471897194883,778.475218572793
127,2023-09-10,"LDPE","N0",NA,NA,2.70883607229387,0.37628884515526,2.33254722713861,825.431244364576,44.6234785646436,780.807765799932
127,2023-09-11,"LDPE","N0",NA,NA,2.69275911104162,0.410496921987557,2.28226218905406,828.124003475617,45.0339754866311,783.090027988986
127,2023-09-12,"LDPE","N0",NA,NA,2.67668214978937,0.444704998819853,2.23197715096952,830.800685625407,45.478680485451,785.322005139956
127,2023-09-13,"LDPE","N0",NA,NA,2.66060518853712,0.47891307565215,2.18169211288497,833.461290813944,45.9575935611031,787.503697252841
127,2023-09-14,"LDPE","N0",0.11018867613687,0.0213800480201852,2.64452822728487,0.513121152484446,2.13140707480043,836.105819041229,46.4707147135876,789.635104327641
128,2023-03-06,"PBS","N0",1.26592917802278,0.511555420978709,30.3823002725466,12.277330103489,18.1049701690576,30.3823002725466,12.277330103489,18.1049701690576
128,2023-03-07,"PBS","N0",0.735502011637109,0.217802107337071,17.6520482792906,5.2272505760897,12.4247977032009,48.0343485518372,17.5045806795787,30.5297678722585
128,2023-03-08,"PBS","N0",0.632719256262767,0.14575710963678,15.1852621503064,3.49817063128272,11.6870915190237,63.2196107021437,21.0027513108614,42.2168593912822
128,2023-03-09,"PBS","N0",0.515389367017693,0.108770391503183,12.3693448084246,2.6104893960764,9.75885541234824,75.5889555105683,23.6132407069378,51.9757148036305
128,2023-03-10,"PBS","N0",0.572892212647723,0.0499743940026174,13.7494131035454,1.19938545606282,12.5500276474825,89.3383686141137,24.8126261630006,64.525742451113
128,2023-03-11,"PBS","N0",NA,NA,12.0971766748901,1.28469077705536,10.8124858978347,101.435545289004,26.097316940056,75.3382283489478
128,2023-03-12,"PBS","N0",0.435205843593119,0.057083170751996,10.4449402462349,1.3699960980479,9.07494414818695,111.880485535239,27.4673130381039,84.4131724971347
128,2023-03-13,"PBS","N0",NA,NA,10.1291680220165,1.22720864206938,8.90195937994715,122.009653557255,28.6945216801733,93.3151318770819
128,2023-03-14,"PBS","N0",0.408891491574925,0.045184216087119,9.8133957977982,1.08442118609086,8.72897461170735,131.823049355053,29.7789428662641,102.044106488789
128,2023-03-15,"PBS","N0",NA,NA,9.67014758862917,1.0476570498942,8.62249053873497,141.493196943683,30.8265999161583,110.666597027524
128,2023-03-16,"PBS","N0",0.396954140810839,0.0421205380707307,9.52689937946014,1.01089291369754,8.5160064657626,151.020096323143,31.8374928298559,119.182603493287
