"","X","Jar.No","Sample.ID","Plastic","Nitrogen","Treatment","Time1","Time","Plastic.code","DOC","MBC","Nitrate","Ammonium","pH","BG","CB","LAP","XYL","TN","SOC","X13C","day","cacq","Rep","original_c","c_added","SOC_std"
"21",21,21,"CON1T1","NONE","N1","NONE-N1","T1","5D","CO",67.1569641851107,93.0294284768954,66.0930572854455,17.3336134470383,5.58,56.0370261064669,25.7389131383707,23.8148818650427,13.4653720054613,0.114,1.126,-26.2681570750521,5,95.2413112502989,"1",NA,0,NA
"22",22,22,"LDN1T1","LDPE","N1","LDPE-N1","T1","5D","LD",63.1893312418301,141.400535852758,64.3357788784847,14.5779102581105,5.48,57.859167134542,25.5787694065402,28.8229645683733,12.3699414521938,0.121,2.587,-31.5045057340846,5,95.807877993276,"1",NA,17.2274,1.50167756016578
"23",23,23,"BSN1T1","PBS","N1","PBS-N1","T1","5D","BS",70.1351667399896,95.9781513076596,58.1234816276021,14.4348854925328,5.51,65.4714819684478,28.33493523664,26.0529845200088,14.0918018515491,0.12,1.925,-21.9272999258253,5,107.898219056637,"1",NA,11.1866666666667,1.72079856972586
"24",24,24,"HAN1T1","PLA/PHA","N1","PLA/PHA-N1","T1","5D","HA",74.8666442775824,330.910437115188,26.572547484835,1.34874651243385,6.23,62.6552787161234,25.6147828246405,124.131712082199,13.3806044371251,0.12,2.004,-20.2688698867617,5,101.650665977889,"1",NA,9.43873333333334,2.12316624405817
"25",25,25,"PLN1T1","PLA","N1","PLA-N1","T1","5D","PL",62.7427519589444,63.4977013691633,65.2592259050497,16.4785347915415,5.5,70.1275127154701,32.9304196100956,26.8697849726807,13.4290309917439,0.122,2.283,-19.0131580634073,5,116.48696331731,"1",NA,10.0086,2.28103830705593
"26",26,26,"CON1T1","NONE","N1","NONE-N1","T1","5D","CO",61.8442550538041,96.5589133889511,64.0122166038855,16.5510927961939,5.48,73.7426951562065,31.8050609718246,26.877854478434,13.7407084092953,0.116,1.124,-26.1376278041313,5,119.288464537326,"2",NA,0,NA
"27",27,27,"LDN1T1","LDPE","N1","LDPE-N1","T1","5D","LD",60.9025020743884,122.418089872679,61.9549318480445,15.9636299310345,5.47,70.0881473475428,29.6320575049331,29.9890400388885,11.6599283741084,0.123,2.732,-31.5854541191517,5,111.380133226584,"2",NA,17.2274,1.5858458037777
"28",28,28,"BSN1T1","PBS","N1","PBS-N1","T1","5D","BS",70.1080860008221,92.6615151019833,56.8826263296963,14.4958644092302,5.49,70.5689783372371,29.3785112220477,32.7635192291171,15.2061979603808,0.123,2.214,-21.5438069515696,5,115.153687519666,"2",NA,11.1866666666667,1.97914183551847
"29",29,29,"HAN1T1","PLA/PHA","N1","PLA/PHA-N1","T1","5D","HA",77.7838854251378,377.461079280745,34.8271772700473,1.99910577773434,6.19,64.7377400897615,26.2400460104451,122.481896603036,13.0096604455427,0.115,1.982,-20.0159061834268,5,103.987446545749,"2",NA,9.43873333333334,2.09985803179805
"30",30,30,"PLN1T1","PLA","N1","PLA-N1","T1","5D","PL",60.7259777985268,63.9220512501297,63.5248476785737,18.2985728642579,5.53,71.4335050793823,32.2427237730899,37.1099996685727,13.0399547905896,0.116,2.246,-19.9643015879465,5,116.716183643062,"2",NA,10.0086,2.24407009971425
"31",31,31,"CON1T1","NONE","N1","NONE-N1","T1","5D","CO",61.4507814783507,79.6532804673283,63.7675503740729,17.403135993724,5.49,97.7867248842172,44.0773970313862,25.577575928105,20.6754756097955,0.117,1.173,-26.1275092559979,5,162.539597525399,"3",NA,0,NA
"32",32,32,"LDN1T1","LDPE","N1","LDPE-N1","T1","5D","LD",62.8133258339784,131.077634417777,63.643063242176,18.6743168585479,5.48,100.981139795724,38.5768573558075,27.0109410027973,19.9011231949566,0.097,2.538,-30.9995901822281,5,159.459120346488,"3",NA,17.2274,1.47323449853141
"33",33,33,"BSN1T1","PBS","N1","PBS-N1","T1","5D","BS",64.9391833699548,99.0373341831743,56.8778033297122,12.8501382456538,5.5,107.4256029027,42.3509184667238,24.1814654118561,20.4815573038137,0.117,2.527,-20.8051529378317,5,170.258078673237,"3",NA,11.1866666666667,2.25893921334923
