"Plastic","Nitrogen","Tube","Date","CO2Flux","CO2Flux_plastic","Day","daily_CO2","daily_CO2_plastic"
"PBS","N0",128,"07/06/2023",0.16307351627059,0.0166838502619316,"123",3.91376439049416,0.400412406286359
"PBS","N0",133,"07/06/2023",0.158119318559229,0.0139847148242545,"123",3.79486364542149,0.335633155782108
"PBS","N0",138,"07/06/2023",0.1480798358495,0.0132808400799001,"123",3.55391606038799,0.318740161917603
"PLA/PHA","N0",124,"07/06/2023",0.372554958375862,0.211002237960351,"123",8.94131900102069,5.06405371104843
"PLA/PHA","N0",129,"07/06/2023",0.382673077049573,0.228366063176085,"123",9.18415384918974,5.48078551622603
"PLA/PHA","N0",134,"07/06/2023",0.416825408535109,0.243515928671808,"123",10.0038098048426,5.84438228812339
"PLA/PHA","N0",139,"07/06/2023",0.376431115426577,0.220682909224468,"123",9.03434677023785,5.29638982138722
"PLA","N0",125,"07/06/2023",0.137194810766903,0.00235847601014215,"123",3.29267545840568,0.0566034242434117
"PLA","N0",130,"07/06/2023",0.147272861267049,0.000337995645891032,"123",3.53454867040919,0.00811189550138476
"PLA","N0",135,"07/06/2023",0.153897440392108,0.000590492574926359,"123",3.6935385694106,0.0141718217982326
"PLA","N0",140,"07/06/2023",0.142704480264572,0.00310784423042785,"123",3.42490752634973,0.0745882615302685
"NONE","N1",141,"07/06/2023",0.122220710114588,0,"123",2.93329704275012,0
"NONE","N1",146,"07/06/2023",0.117026064343187,0,"123",2.80862554423649,0
"NONE","N1",151,"07/06/2023",0.116622379452661,0,"123",2.79893710686385,0
"NONE","N1",156,"07/06/2023",0.120836958995067,0,"123",2.90008701588161,0
"LDPE","N1",142,"07/06/2023",0.13867553560806,0.0218484429201013,"123",3.32821285459343,0.524362630082432
"LDPE","N1",147,"07/06/2023",0.147570082677708,0.032774210241203,"123",3.54168198426498,0.786581045788872
"LDPE","N1",152,"07/06/2023",0.144777013744657,0.0442117549805142,"123",3.47464832987176,1.06108211953234
"LDPE","N1",157,"07/06/2023",0.12303975487734,0,"123",2.95295411705615,0
"PBS","N1",143,"07/06/2023",0.13382288173571,0.0158024075730972,"123",3.21174916165705,0.379257781754334
"PBS","N1",148,"07/06/2023",0.136389745932276,0.012505061111231,"123",3.27335390237463,0.300121466669544
"PBS","N1",153,"07/06/2023",0.125527898146349,0.011732097961528,"123",3.01266955551237,0.281570351076673
"PBS","N1",158,"07/06/2023",0.128126356159981,0.0182710331164765,"123",3.07503254783953,0.438504794795436
